1569368189|2019-09-25 01:36:29|JOIN #ot|wonderwoman|
1569368326|2019-09-25 01:38:46|:trace!~alex@192.168.zwo.vw MODE #ot +o wonderwoman|trace|
1569368326|2019-09-25 01:38:46|PING :hostname.domain.tld|hostname.domain.tld|
1569368326|2019-09-25 01:38:46|PONG :hostname.domain.tld|wonderwoman|hostname.domain.tld
1569368329|2019-09-25 01:38:49|:trace!~alex@192.168.zwo.vw QUIT :Client Quit|trace|Client Quit
1569368466|2019-09-25 01:41:06|PING :hostname.domain.tld|hostname.domain.tld|
1569368466|2019-09-25 01:41:06|PONG :hostname.domain.tld|wonderwoman|hostname.domain.tld
1569368606|2019-09-25 01:43:26|PING :hostname.domain.tld|hostname.domain.tld|
1569368606|2019-09-25 01:43:26|PONG :hostname.domain.tld|wonderwoman|hostname.domain.tld
1569368746|2019-09-25 01:45:46|PING :hostname.domain.tld|hostname.domain.tld|
1569368746|2019-09-25 01:45:46|PONG :hostname.domain.tld|wonderwoman|hostname.domain.tld
1569368886|2019-09-25 01:48:06|PING :hostname.domain.tld|hostname.domain.tld|
1569368886|2019-09-25 01:48:06|PONG :hostname.domain.tld|wonderwoman|hostname.domain.tld
1569369026|2019-09-25 01:50:26|PING :hostname.domain.tld|hostname.domain.tld|
1569369026|2019-09-25 01:50:26|PONG :hostname.domain.tld|wonderwoman|hostname.domain.tld
1569369166|2019-09-25 01:52:46|PING :hostname.domain.tld|hostname.domain.tld|
1569369166|2019-09-25 01:52:46|PONG :hostname.domain.tld|wonderwoman|hostname.domain.tld
1569369306|2019-09-25 01:55:06|PING :hostname.domain.tld|hostname.domain.tld|
1569369306|2019-09-25 01:55:06|PONG :hostname.domain.tld|wonderwoman|hostname.domain.tld
1569369446|2019-09-25 01:57:26|PING :hostname.domain.tld|hostname.domain.tld|
1569369446|2019-09-25 01:57:26|PONG :hostname.domain.tld|wonderwoman|hostname.domain.tld
1569369586|2019-09-25 01:59:46|PING :hostname.domain.tld|hostname.domain.tld|
1569369586|2019-09-25 01:59:46|PONG :hostname.domain.tld|wonderwoman|hostname.domain.tld
1569369726|2019-09-25 02:02:06|PING :hostname.domain.tld|hostname.domain.tld|
